climber_id,first_name,last_name,country,gender,year_of_birth
cl00001,Adam,Ondra,czechia,male,1993
cl00002,Sebastien,Bouin,france,male,1993
cl00003,Jakob,Schubert,austria,male,1990
cl00004,Chris,Sharma,usa,male,1981
cl00005,Stefano,Ghisolfi,italy,male,1993
cl00006,Alexander,Megos,germany,male,1993
cl00007,Sean,Bailey,usa,male,1996
cl00008,Jorge,Díaz-Rullo,spain,male,1999
cl00009,Laura,Rogora,italy,female,2001
cl00010,Stefano,Carnati,italy,male,
cl00011,Gabriele,Moroni,italy,male,
cl00012,Dani,Andrada,spain,male,
cl00013,Magnus,Midtbø,norway,male,1988
cl00014,Domen,Škofic,slovenia,male,1994
cl00015,Dave,Graham,usa,male,1981
cl00016,William,Bosi,uk,male,1998
cl00017,Jonathan,Siegrist,usa,male,1985
cl00018,Angela,Eiter,austria,female,1986
cl00019,Jonatan,Flor,spain,male,
cl00020,Anak,Verhoeven,belgium,female,1996
cl00021,Steve,McClure,uk,male,1970
cl00022,Eder,Lomba,spain,male,
cl00023,Josh,Ibbertson,uk,male,
cl00024,Sachi,Amma,japan,male,1989
cl00025,Matty,Hong,usa,male,1991
cl00026,Piotr,Schab,poland,male,
cl00027,Loic,Zehani,france,male,
cl00028,Felipe,Camargo,brazil,male,1991
cl00029,Ethan,Pringle,usa,male,1986
cl00030,James,Litz,usa,male,
cl00031,Alessandro,Zeni,italy,male,1991
cl00032,Pirmin,Bertle,germany,male,
cl00033,Hyunbin,Min,korea,male,1989
cl00034,Minyoung,Lee,korea,male,
cl00035,Cedric,Lachat,switzerland,male,
cl00036,Tom,Bolger,uk,male,
cl00037,Tanguy,Merard,france,male,
cl00038,Nalle,Hukkataival,finland,male,1986
cl00039,Simon,Lorenzi,belgium,male,1997
cl00040,Elias,Iagnemma,italy,male,
cl00041,Daniel,Woods,usa,male,1989
cl00042,Shawn,Raboutou,usa,male,1998
cl00043,Aidan,Roberts,uk,male,1998
cl00044,Charles,Albert,france,male,1997
cl00045,Nicolas,Pelorson,france,male,
cl00046,Camille,Coudert,france,male,
cl00047,Vadim,Timonov,russia,male,1992
cl00048,Rustam,Gelmanov,kazachstan,male,1987
cl00049,Matt,Fultz,usa,male,
cl00050,Jimmy,Webb,usa,male,1987
cl00051,Giuliano,Cameroni,switzerland,male,1997
cl00052,Sergei,Topishko,ukraine,male,
cl00053,Yannick,Flohé,germany,male,1999
cl00054,Florian,Wientjes,germany,male,
cl00055,Niccolò,Ceria,italy,male,
cl00056,Francesco,Berardino,italy,male,
cl00057,Lasse,von Freier,germany,male,
cl00058,Ryuichi,Murai,japan,male,
cl00059,Ryohei,Kameyama,japan,male,
cl00060,David,Fitzgerald,ireland,male,
cl00061,Nathaniel,Coleman,usa,male,1997
cl00062,Zach,Galla,usa,male,2000
cl00063,Drew,Ruana,usa,male,1999
cl00064,Nathan,Williams,,male,
cl00065,Pablo,Hammack,usa,male,2001
cl00066,Griffin,Whiteside,usa,male,
cl00067,Zander,Waller,usa,male,
cl00068,Kai,Whaley,usa,male,
cl00069,Noah,Wheeler,usa,male,
cl00070,Andy,Lamb,usa,male,
cl00071,Katie,Lamb,usa,female,1997
cl00072,Brooke,Raboutou,usa,female,2001
cl00073,Christian,Core,italy,male,1974
cl00074,Daisuke,Ichimiya,japan,male,
cl00075,Carlo,Traversi,usa,male,
cl00076,Dylan,Barks,usa,male,1995
cl00077,Tim,Reuser,netherlands,male,
cl00078,Michiel,Nieuwenhuijsen,netherlands,male,
cl00079,Jabee,Kim,korea,male,
cl00080,Austin,Purdy,usa,male,
cl00081,Keenan,Takahashi,usa,male,
cl00082,Taylor,McNeill,usa,male,
cl00083,Kazuma,Ise,japan,male,
cl00084,Dai,Koyamada,japan,male,1976
cl00085,Toru,Nakajima,japan,male,
cl00086,Clément,Lechaptois,france,male,
cl00087,Pietro,Vidi,italy,male,
cl00088,Nacho,Sánchez,spain,male,
cl00089,Solly,Kemball Dorey,uk,male,
cl00090,Yuta,Imaizumi,japan,male,
cl00091,Colin,Duffy,usa,male,2003
cl00092,Klem,Loskot,austria,male,
cl00093,Martin,Moser,,male,
cl00094,Nicolai,Užnik,austria,male,
cl00095,Martin,Keller,switzerland,male,
cl00096,Shinichiro,Nomura,japan,male,
cl00097,Akira,Waku,japan,male,1971
cl00098,Paul,Robinson,usa,male,1987
cl00099,Sam,Weir,usa,male,
cl00100,Pablo,Zamora,spain,male,
