"climber_id","first_name","last_name","country","gender","year_of_birth"
"cl00001","Adam","Ondra","Czechia","male",1993
"cl00002","Sebastien","Bouin","France","male",1993
"cl00003","Jakob","Schubert","Austria","male",1990
"cl00004","Chris","Sharma","Usa","male",1981
"cl00005","Stefano","Ghisolfi","Italy","male",1993
"cl00006","Alexander","Megos","Germany","male",1993
"cl00007","Jorge","Díaz-Rullo","Spain","male",1999
"cl00008","Sean","Bailey","Usa","male",1996
"cl00009","Laura","Rogora","Italy","female",2001
"cl00010","Stefano","Carnati","Italy","male",1998
"cl00011","Gabriele","Moroni","Italy","male",1987
"cl00012","Gio","Placci","Italy","male",2001
"cl00013","Dani","Andrada","Spain","male",1975
"cl00014","Magnus","Midtbø","Norway","male",1988
"cl00015","Domen","Škofic","Slovenia","male",1994
"cl00016","Dave","Graham","Usa","male",1981
"cl00017","William","Bosi","Uk","male",1998
"cl00018","Jonathan","Siegrist","Usa","male",1985
"cl00019","Angela","Eiter","Austria","female",1986
"cl00020","Jonatan","Flor","Spain","male",1997
"cl00021","Anak","Verhoeven","Belgium","female",1996
"cl00022","Steve","McClure","Uk","male",1970
"cl00023","Eder","Lomba","Spain","male",NA
"cl00024","Josh","Ibbertson","Uk","male",2004
"cl00025","Sachi","Amma","Japan","male",1989
"cl00026","Yu","Okumura","Japan","male",1994
"cl00027","Matty","Hong","Usa","male",1991
"cl00028","Piotr","Schab","Poland","male",1996
"cl00029","Loic","Zehani","France","male",2001
"cl00030","Felipe","Camargo","Brazil","male",1991
"cl00031","Ethan","Pringle","Usa","male",1986
"cl00032","James","Litz","Usa","male",NA
"cl00033","Alessandro","Zeni","Italy","male",1991
"cl00034","Pirmin","Bertle","Germany","male",1985
"cl00035","Hyunbin","Min","Korea","male",1989
"cl00036","Minyoung","Lee","Korea","male",1999
"cl00037","Cedric","Lachat","Switzerland","male",1983
"cl00038","Tom","Bolger","Uk","male",1988
"cl00039","Tanguy","Merard","France","male",2003
"cl00040","Nalle","Hukkataival","Finland","male",1986
"cl00041","Simon","Lorenzi","Belgium","male",1997
"cl00042","Elias","Iagnemma","Italy","male",1995
"cl00043","Daniel","Woods","Usa","male",1989
"cl00044","Noah","Wheeler","Usa","male",2002
"cl00045","Shawn","Raboutou","Usa","male",1998
"cl00046","Aidan","Roberts","Uk","male",1998
"cl00047","Charles","Albert","France","male",1997
"cl00048","Nicolas","Pelorson","France","male",1997
"cl00049","Camille","Coudert","France","male",1995
"cl00050","Vadim","Timonov","Russia","male",1992
"cl00051","Rustam","Gelmanov","Kazachstan","male",1987
"cl00052","Matt","Fultz","Usa","male",1991
"cl00053","Jimmy","Webb","Usa","male",1987
"cl00054","Giuliano","Cameroni","Switzerland","male",1997
"cl00055","Sergei","Topishko","Ukraine","male",1996
"cl00056","Yannick","Flohé","Germany","male",1999
"cl00057","Florian","Wientjes","Germany","male",1995
"cl00058","Niccolò","Ceria","Italy","male",1994
"cl00059","Francesco","Berardino","Italy","male",1997
"cl00060","Lasse","von Freier","Germany","male",2002
"cl00061","Ryuichi","Murai","Japan","male",1994
"cl00062","Ryohei","Kameyama","Japan","male",1998
"cl00063","Yuta","Imaizumi","Japan","male",NA
"cl00064","David","Fitzgerald","Ireland","male",NA
"cl00065","Hamish","McArthur","Uk","male",2002
"cl00066","Nathaniel","Coleman","Usa","male",1997
"cl00067","Zach","Galla","Usa","male",2000
"cl00068","Owen","Whaley","Usa","male",2004
"cl00069","Drew","Ruana","Usa","male",1999
"cl00070","Nathan","Williams","Usa","male",1998
"cl00071","Pablo","Hammack","Usa","male",2001
"cl00072","Griffin","Whiteside","Usa","male",NA
"cl00073","Zander","Waller","Usa","male",2003
"cl00074","Kai","Whaley","Usa","male",2006
"cl00075","Andy","Lamb","Usa","male",NA
"cl00076","Toru","Nakajima","Japan","male",NA
"cl00077","Adam","Shahar","Usa","male",2005
"cl00078","Katie","Lamb","Usa","female",1997
"cl00079","Brooke","Raboutou","Usa","female",2001
"cl00080","Christian","Core","Italy","male",1974
"cl00081","Sung","Su Lee","Korea","male",NA
"cl00082","Daisuke","Ichimiya","Japan","male",1993
"cl00083","Carlo","Traversi","Usa","male",1988
"cl00084","Dylan","Barks","Usa","male",1995
"cl00085","Tim","Reuser","Netherlands","male",1993
"cl00086","Michiel","Nieuwenhuijsen","Netherlands","male",1986
"cl00087","Jabee","Kim","Korea","male",1987
"cl00088","Austin","Purdy","Usa","male",1997
"cl00089","Keenan","Takahashi","Usa","male",NA
"cl00090","Taylor","McNeill","Usa","male",1992
"cl00091","Keiichiro","Korenaga","Japan","male",1996
"cl00092","Kazuma","Ise","Japan","male",2003
"cl00093","Dai","Koyamada","Japan","male",1976
"cl00094","Clément","Lechaptois","France","male",1994
"cl00095","Pietro","Vidi","Italy","male",2002
"cl00096","Sam","Weir","Usa","male",1992
"cl00097","Nacho","Sánchez","Spain","male",NA
"cl00098","Solly","Kemball Dorey","Uk","male",NA
"cl00099","Colin","Duffy","Usa","male",2003
"cl00100","Klem","Loskot","Austria","male",NA
"cl00101","Martin","Moser","Italy","male",NA
"cl00102","Nicolai","Užnik","Austria","male",2001
"cl00103","Martin","Keller","Switzerland","male",1977
"cl00104","Shinichiro","Nomura","Japan","male",1997
"cl00105","Akira","Waku","Japan","male",1971
"cl00106","Paul","Robinson","Usa","male",1987
"cl00107","Pablo","Zamora","Spain","male",NA
"cl00108","Simone","Mabboni","Italy","male",2001
"cl00109","Thilo","Schröter","Norway","male",1995
"cl00110","Nathan","Phillips","Uk","male",1994
"cl00111","Stefan","Hochbaum","Germany","male",NA
