route_id,climb_name,type,country,crag,lat,long,grade
ro0001,Silence,sport,Norway,Flatanger,64.489722,10.818611,9c
ro0002,DNA,sport,France,Verdon Gorge,43.73469922,6.360529315,9c
ro0003,B.I.G.,sport,Norway,Flatanger,64.489722,10.818611,9c
ro0004,La Dura Dura,sport,Spain,Oliana,42.077778,1.287778,9b+
ro0005,Change,sport,Norway,Flatanger,64.48901,10.81937,9b+
ro0006,Vasil Vasil,sport,Czech Republic,Sloup,49.41012,16.73855,9b+
ro0007,Perfecto Mundo,sport,Spain,Margalef,41.2756,0.76803,9b+
ro0008,Bibliographie,sport,France,Céüse,44.49797,5.9486,9b+
ro0009,Suprême Jumbo Love,sport,USA,Clark Mountain,35.5253,115.5892,9b+
ro0010,Zvěřinec,sport,Czech Republic,Holštejn,49.40148,16.77622,9b+
ro0011,Excalibur,sport,Italy,Drena,45.96961,10.93799,9b+
ro0012,Mejorando la Samfaina,sport,Spain,Margalef,41.2756,0.76803,9b+
ro0013,Sleeping Lion,sport,Spain,Siurana,41.26494,0.93733,9b
ro0014,Nordic Marathon,sport,Norway,Flatanger,64.48877,10.81937,9b/+
ro0015,La Rage d'Adam,sport,France,Verdon Gorge,43.7347,6.36003,9b/+
ro0016,Beyond Integral,sport,France,Pic Saint-Loup,43.779,3.80544,9b/+
ro0017,Move,sport,Norway,Flatanger,64.48877,10.81937,9b/+
ro0018,Wonderland,sport,Italy,Terra Promessa,45.94104,10.91781,9b/+
ro0019,Erebor,sport,Italy,Arco,45.94464,10.90004,9b
ro0020,Ali Hulk Sit Start Extension,sport,Spain,Rodellar,42.28398,-0.08135,9b
ro0021,The Lonely Mountain,sport,Italy,Arco,45.94464,10.90004,9b
ro0022,Taurus,sport,Czech Republic,Moravský kras,49.40651,16.74248,9b
ro0023,King Capella,sport,Spain,Suirana,41.26389,0.9409,9b
ro0024,One Slap,sport,Italy,Arco,45.92644,10.8867,9b
ro0025,Chaxi Raxi,sport,Spain,Oliana,42.07762,1.28714,9b
ro0026,Neanderthal,sport,Spain,Santa Linya,41.92589,0.81145,9b
ro0027,Disbelief,sport,Canada,Canmore,51.06168,-115.11908,9b
ro0028,La Planta de Shiva,sport,Spain,Andalusia,36.9829,-4.36381,9b
ro0029,Madame Ching,sport,Austria,Tyrol,47.2401,10.7395,9b
ro0030,Rainman,sport,United Kingdom,Malham Cove,54.0713,-2.15736,9b
ro0031,Stoking the Fire,sport,Spain,Santa Linya,41.92589,0.81145,9b
ro0032,Mamichula,sport,Spain,Oliana,42.07762,1.28714,9b
ro0033,Les yeux plus gros que l'antre,sport,France,Russan,43.92641,4.33757,9b
ro0034,The Dream,sport,Albania,Brar,41.40107,19.90016,9b
ro0035,Move Hard,sport,Norway,Flatanger,64.48877,10.81937,9b
ro0036,Queen Line,sport,Italy,Arco,45.92644,10.8867,9b
ro0037,Robin Úd,sport,Slovakia,Alternatívna stena,48.45077,17.33962,9b
