"climb_name","type","country","crag","lat","long","grade","climb_id"
"Silence","sport","Norway","Flatanger","64.489722","10.818611","9c","b331e96a3248376556c5b01061bd5568"
"DNA","sport","France","Verdon Gorge","43.7346992187057","6.36052931522443","9c","4c39d9d648e2ffca122e25e947ee48f7"
"B.I.G.","sport","Norway","Flatanger","64.489722","10.818611","9c","0ebb911deff13acc2f447d0183c4baf3"
"La Dura Dura","sport","Spain","Oliana","42.077778","1.287778","9b+","bba5a9e4312fd5107c5899a99d0c9aab"
"Change","sport","Norway","Flatanger","64.48901","10.81937","9b+","4c57225d5ed0f79a03d96f467d81d337"
"Vasil Vasil","sport","Czech Republic","Sloup","49.41012","16.73855","9b+","eed65579f53e712119c060f36271e39c"
"Perfecto Mundo","sport","Spain","Margalef","41.2756","0.76803","9b+","d8894b6deffa27ef20fe5e40a45f9cff"
"Bibliographie","sport","France","Céüse","44.49797","5.9486","9b+","495e9bce07d17bb80e60457cbd54942b"
"Suprême Jumbo Love","sport","USA","Clark Mountain","35.5253","115.5892","9b+","9cc3e410093daaa6effd4cff13a1ae3a"
"Zvěřinec","sport","Czech Republic","Holštejn","49.40148","16.77622","9b+","52dc54fc685b6621c5008f9ced8fb4b5"
"Excalibur","sport","Italy","Drena","45.96961","10.93799","9b+","cc78ea336075c4e68a3f7e02c29c825f"
"Mejorando la Samfaina","sport","Spain","Margalef","41.2756","0.76803","9b+","04e7a501813ab5abf19c3e4a44bff266"
"Sleeping Lion","sport","Spain","Siurana","41.26494","0.93733","9b","9b14acb423168482de6c724f9bf4b187"
"Nordic Marathon","sport","Norway","Flatanger","64.48877","10.81937","9b/+","7f7bcaa033ff00c0294731609f509f42"
"La Rage d'Adam","sport","France","Verdon Gorge","43.7347","6.36003","9b/+","0714ae4b2b982f22a9f9c815dd045a34"
"Beyond Integral","sport","France","Pic Saint-Loup","43.779","3.80544","9b/+","540ceb17a97cf9d9887520710b53006e"
"Move","sport","Norway","Flatanger","64.48877","10.81937","9b/+","0fc7dab39b73b6c251c96e2dcc7e5519"
"Wonderland","sport","Italy","Terra Promessa","45.94104","10.91781","9b/+","2875cebf0e2a8a9a11e3a18d391137d1"
"Erebor","sport","Italy","Arco","45.94464","10.90004","9b","9c59a312de9009b01cce1ae527b14552"
"Ali Hulk Sit Start Extension","sport","Spain","Rodellar","42.28398","-0.08135","9b","fce7b43ab4e2e3e3d26b83d8aa344360"
"The Lonely Mountain","sport","Italy","Arco","45.94464","10.90004","9b","67e0adba0850cbc79d5dca69385d393c"
"Taurus","sport","Czech Republic","Moravský kras","49.40651","16.74248","9b","365a3f3174001b9b7e405d77020d2569"
"King Capella","sport","Spain","Suirana","41.26389","0.9409","9b","21514d3439d5ae4a823ac6542165fbad"
"One Slap","sport","Italy","Arco","45.92644","10.8867","9b","6739bac0834907b42d65c527c62fb934"
"Chaxi Raxi","sport","Spain","Oliana","42.07762","1.28714","9b","082b969862822d931a0f59197e7bf895"
"Neanderthal","sport","Spain","Santa Linya","41.92589","0.81145","9b","06985121b8647c56c7cbb455bb3d9239"
"Disbelief","sport","Canada","Canmore","51.06168","-115.11908","9b","898aee824869a28e0754f91d90e49e39"
"La Planta de Shiva","sport","Spain","Andalusia","36.9829","-4.36381","9b","63285ca2021cd6028cd721b2c1e46b78"
"Madame Ching","sport","Austria","Tyrol","47.2401","10.7395","9b","04a59b264412eab8881d0bc8ff038926"
"Rainman","sport","United Kingdom","Malham Cove","54.0713","-2.15736","9b","af45186c2dc9be02b65e713432a87efa"
"Stoking the Fire","sport","Spain","Santa Linya","41.92589","0.81145","9b","1f3a63e6ca7432101122929fe798c58c"
"Mamichula","sport","Spain","Oliana","42.07762","1.28714","9b","b54307275137d6eb7494f17ea2945011"
"Les yeux plus gros que l'antre","sport","France","Russan","43.92641","4.33757","9b","c1cdc9a307abb7e2a7297910dc995b2e"
"The Dream","sport","Albania","Brar","41.40107","19.90016","9b","07fac3dafd976cfa9226810a3c36a66e"
"Move Hard","sport","Norway","Flatanger","64.48877","10.81937","9b","cc5c2da360b8301de64ac33f03784d0f"
"Queen Line","sport","Italy","Arco","45.92644","10.8867","9b","714a7de188f976b2348cf54183cdee43"
"Robin Úd","sport","Slovakia","Alternatívna stena","48.45077","17.33962","9b","5cb627bbb0b3f51a464e43315820d4ed"
"C.R.S.","sport","France","Mollans-sur-Ouvèze","44.24299","5.20375","9b","c22e9daabdece531ecf879834b4a0ab0"
"First Round First Minute","sport","Spain","Margalef","41.29758","0.77823","9b","dce1d4e13c4c2b8550ddb47b1963016b"
"Fight or Flight","sport","Spain","Oliana","42.07762","1.28714","9b","790e947a79f52adca53123e09032e710"
"Iron Curtain","sport","Norway","Flatanger","64.48941","10.81907","9b","7d2619e8e596833dbb3b8690ccfbe286"
"Obsession","sport","France","Orgon","43.78006","5.03944","9b","f43d2ca8e76b64eb993fcb5822ae48af"
"Chikane","sport","France","Orgon","43.78006","5.03944","9b","306935cc774108264431df1d0cd95fef"
"El Bon Combat","sport","Spain","Catalunya","41.74591","2.1898","9b","9130e39c1661c73d58b72fb33c533814"
"Golpe de Estado","sport","Spain","Catalunya","41.26494","0.93733","9b","1bde715b67f148637a9b642ee7b86614"
"Café Solo","sport","Spain","Catalunya","41.2756","0.76803","9b","3343f0152ad434331ab8017aa4090f92"
"Jumbo Love","sport","USA","Clark Mountain","35.5253","115.5892","9b","1fb7ee80f2bd34f5f085ce08a99bf4cb"
"Peruvian Necktie","sport","USA","Pop Tire Cave","40.87179","-113.82842","9b","c430eb3995a377aaf46a3afad452afa6"
"Fight Club","sport","Canada","Banff","46.7130301","-113.8178328","9b","ea2b047319ea950c25203835538409d5"
"El Picacho","sport","Spain","Rodellar","42.28398","-0.08135","9b","4cb609e26e7ee3bc8a027ad9bb70e4e5"
"Cryptography","sport","Switzerland","Saint Loup","46.66982","6.50032","9b","5a20d2e06f7ca1978aa435481b55f52f"
"La Barrière","sport","Switzerland","Greyerzerland","46.62278","7.24214","9b","4155d54c095352ffff21d0952c30e872"
"Soul Rock Dance","sport","South Korea","Jongjasan","38.10507","127.19509","9b","5aaef11c4827ac7fcaf95721efc3a8cf"
"Soul Mate","sport","Japan","Gozen Iwa","35.82576","139.07763","9b","da1e37725a2696c3d3035cd6245a80cc"
"L'Arenauta","sport","Italy","Grotta dell'Arenauta","41.220813","13.4852204","9b","e6a5a15e9f96ed8c779e46999a9c131c"
"Bomba","sport","Italy","Arco","45.92543","10.87774","9b","7cb9ac611af378fcb82a2634e4cbc3ef"
