date,fa,video,climber_id,route_id
26/2/2024,1,NA,cl00043,ro00136
11/8/2007,1,NA,cl00013,ro00020
7/10/2020,0,NA,cl00016,ro00020
18/10/2021,0,NA,cl00015,ro00020
26/7/2020,0,NA,cl00009,ro00020
30/5/2012,0,NA,cl00014,ro00020
4/11/2022,0,NA,cl00046,ro00077
18/12/2023,0,NA,cl00003,ro00077
9/12/2024,0,NA,cl00008,ro00077
6/4/2022,1,NA,cl00045,ro00077
15/12/2022,0,NA,cl00041,ro00077
2/11/2022,0,NA,cl00017,ro00077
21/5/2024,1,NA,cl00018,ro00072
11/4/2023,1,NA,cl00002,ro00063
10/7/2024,1,NA,cl00046,ro00081
28/9/2023,1,NA,cl00001,ro00066
20/9/2023,1,NA,cl00003,ro00003
22/10/2020,1,NA,cl00002,ro00016
5/8/2020,1,NA,cl00006,ro00008
18/10/2023,0,NA,cl00007,ro00008
30/9/2021,0,NA,cl00008,ro00008
9/6/2023,0,NA,cl00002,ro00008
24/8/2021,0,NA,cl00005,ro00008
23/1/2022,1,NA,cl00041,ro00106
30/5/2024,0,NA,cl00064,ro00087
19/12/2024,0,NA,cl00065,ro00087
20/3/2024,0,NA,cl00052,ro00087
29/12/2020,1,NA,cl00045,ro00087
17/5/2023,1,NA,cl00050,ro00083
30/4/2021,1,NA,cl00069,ro00128
2/3/2022,1,NA,cl00001,ro00056
7/3/2023,0,NA,cl00099,ro00121
21/12/2022,1,NA,cl00069,ro00121
13/10/2023,0,NA,cl00079,ro00091
31/10/2018,1,NA,cl00043,ro00091
22/7/2020,0,NA,cl00069,ro00091
5/9/2023,0,NA,cl00078,ro00091
19/10/2020,0,NA,cl00008,ro00091
13/10/2023,0,NA,cl00045,ro00091
28/6/2022,1,NA,cl00052,ro00111
15/3/2023,1,NA,cl00029,ro00062
25/5/2020,1,NA,cl00001,ro00094
26/3/2024,0,NA,cl00042,ro00075
23/10/2016,1,NA,cl00040,ro00075
2/1/2024,0,NA,cl00041,ro00075
14/4/2023,0,NA,cl00017,ro00075
2/11/2015,1,NA,cl00001,ro00038
2/11/2021,1,NA,cl00007,ro00046
28/3/2023,1,NA,cl00016,ro00130
25/6/2024,0,NA,cl00059,ro00130
4/10/2012,1,NA,cl00001,ro00005
22/8/2024,0,NA,cl00006,ro00005
2/9/2024,0,NA,cl00007,ro00005
8/8/2022,0,NA,cl00002,ro00005
28/9/2020,0,NA,cl00005,ro00005
27/3/2013,1,NA,cl00001,ro00025
16/4/2022,1,NA,cl00029,ro00043
23/8/2021,0,NA,cl00075,ro00096
31/7/2020,0,NA,cl00083,ro00096
17/9/2017,0,NA,cl00082,ro00096
28/9/2016,1,NA,cl00043,ro00096
25/10/2016,0,NA,cl00016,ro00096
30/8/2020,0,NA,cl00069,ro00096
3/9/2021,0,NA,cl00084,ro00096
20/7/2018,0,NA,cl00072,ro00096
23/8/2017,0,NA,cl00053,ro00096
9/7/2021,0,NA,cl00052,ro00096
5/1/2023,0,NA,cl00071,ro00096
